Order_ID,Order_Date,Customer_Name,Category,Product,Quantity,Sales,Profit,City,Payment_Method
ORD0001,2026-01-27,Ishaan,Electronics,Keyboard,3,3600.0,1319.15,Hyderabad,Cash on Delivery
ORD0002,2026-06-04,Arun,Electronics,Keyboard,1,1200.0,436.99,Delhi,Credit Card
ORD0003,2026-01-02,Charan,Home Appliances,Mixer,4,10880.0,3843.19,Pune,Cash on Delivery
ORD0004,2026-03-28,Bhavya,Office Supplies,Stapler,2,700.0,133.19,Hyderabad,Cash on Delivery
ORD0005,2026-01-12,Harini,Electronics,Headphones,3,4590.0,1636.4,Delhi,UPI
ORD0006,2026-06-08,Farah,Home Appliances,Mixer,5,15200.0,3358.33,Delhi,Credit Card
ORD0007,2026-03-01,Bhavya,Electronics,Keyboard,2,2280.0,418.49,Mumbai,Debit Card
ORD0008,2026-02-23,Unknown Customer,Home Appliances,Table Fan,3,7200.0,2384.33,Pune,UPI
ORD0009,2026-03-11,Ishaan,Furniture,Bookshelf,2,12000.0,3708.69,Chennai,Debit Card
ORD0010,2026-01-17,Divya,Electronics,Mouse,1,665.0,215.27,Delhi,Debit Card
ORD0011,2026-06-14,Harini,Furniture,Bookshelf,4,21600.0,4485.8,Chennai,Debit Card
ORD0012,2026-05-30,Gopal,Furniture,Chair,5,19125.0,6826.52,Delhi,Cash on Delivery
ORD0013,2026-01-13,Bhavya,Office Supplies,Pen Set,2,425.0,128.16,Chennai,Credit Card
ORD0014,2026-04-30,Ishaan,Home Appliances,Table Fan,1,2160.0,709.37,Bengaluru,UPI
ORD0015,2026-02-10,Harini,Electronics,Headphones,3,5400.0,1887.62,Hyderabad,Debit Card
ORD0016,2026-05-10,Jaya,Furniture,Bookshelf,1,5700.0,1242.6,Chennai,Credit Card
ORD0017,2026-06-03,Farah,Office Supplies,Pen Set,5,1062.5,212.03,Mumbai,UPI
ORD0018,2026-05-26,Bhavya,Electronics,Headphones,3,5400.0,2192.93,Hyderabad,Cash on Delivery
ORD0019,2026-02-12,Eshan,Electronics,Mouse,2,1260.0,242.87,Delhi,Cash on Delivery
ORD0020,2026-06-21,Farah,Furniture,Bookshelf,2,11400.0,3696.36,Mumbai,Cash on Delivery
ORD0021,2026-05-31,Ishaan,Electronics,Mouse,2,1400.0,474.4,Chennai,Credit Card
ORD0022,2026-01-09,Farah,Electronics,Keyboard,1,1200.0,484.59,Hyderabad,Credit Card
ORD0023,2026-05-27,Jaya,Office Supplies,File Organizer,2,850.0,330.01,Mumbai,Credit Card
ORD0024,2026-04-21,Farah,Home Appliances,Electric Kettle,2,3600.0,1428.25,Mumbai,Cash on Delivery
ORD0025,2026-03-28,Bhavya,Home Appliances,Table Fan,1,2400.0,973.09,Unknown City,Credit Card
ORD0026,2026-03-13,Harini,Furniture,Bookshelf,4,24000.0,7649.96,Chennai,UPI
ORD0027,2026-05-19,Arun,Home Appliances,Table Fan,1,2400.0,632.36,Hyderabad,Credit Card
ORD0028,2026-04-13,Arun,Furniture,Desk,4,30600.0,11282.24,Chennai,Cash on Delivery
ORD0029,2026-06-28,Ishaan,Electronics,Monitor,3,25650.0,9017.01,Pune,Cash on Delivery
ORD0030,2026-05-29,Ishaan,Furniture,Chair,3,13500.0,2531.38,Hyderabad,Debit Card
ORD0031,2026-05-16,Charan,Electronics,Keyboard,5,5400.0,1616.31,Hyderabad,UPI
ORD0032,2026-03-02,Gopal,Furniture,Chair,5,22500.0,5803.85,Hyderabad,Credit Card
ORD0033,2026-03-22,Eshan,Electronics,Keyboard,4,4080.0,1160.13,Chennai,Debit Card
ORD0034,2026-03-18,Harini,Furniture,Desk,4,34000.0,8799.01,Bengaluru,UPI
ORD0035,2026-01-19,Ishaan,Electronics,Monitor,5,40375.0,7305.33,Chennai,Debit Card
ORD0036,2026-02-10,Harini,Furniture,Desk,1,8500.0,2816.16,Kolkata,Debit Card
